patientContext,fhirUser,operation,resourceType,fhirServiceBaseUrl,id,patient/Patient.read,patient/Patient.*,patient/Observation.read,patient/Observation.*,patient/Binary.read,patient/Binary.*,user/Patient.read,user/Patient.*,user/Observation.read,user/Observation.*,user/Binary.read,user/Binary.*,system/Patient.read,system/Patient.*,system/Observation.read,system/Observation.*,system/Binary.read,system/Binary.*
patientIdentity,practitionerFhirUser,search-type,Patient,https,12345,patient/Patient.read,patient/Patient.*,patient/MedicationRequest.read,patient/MedicationRequest.*,patient/Binary.read,patient/Binary.*,user/Patient.read,user/Patient.*,user/MedicationRequest.read,user/MedicationRequest.*,user/Binary.read,user/Binary.*,system/Patient.read,system/Patient.*,system/MedicationRequest.read,system/MedicationRequest.*,system/Binary.read,system/Binary.*
N/A,patientFhirUser,search-type,Patient,https,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
patientIdentity,N/A,search-type,Patient,https,N/A,patient/Patient.read,N/A,patient/MedicationRequest.read,N/A,patient/Binary.read,N/A,user/Patient.read,N/A,user/MedicationRequest.read,N/A,user/Binary.read,N/A,system/Patient.read,N/A,system/MedicationRequest.read,N/A,system/Binary.read,N/A
N/A,practitionerFhirUser,search-type,Observation,https,12345,N/A,patient/Patient.*,N/A,patient/MedicationRequest.*,N/A,patient/Binary.*,N/A,user/Patient.*,N/A,user/MedicationRequest.*,N/A,user/Binary.*,N/A,system/Patient.*,N/A,system/MedicationRequest.*,N/A,system/Binary.*
patientIdentity,patientFhirUser,search-type,Observation,https,N/A,patient/Patient.read,patient/Patient.*,N/A,N/A,patient/Binary.read,patient/Binary.*,N/A,N/A,user/MedicationRequest.read,user/MedicationRequest.*,N/A,N/A,system/Patient.read,system/Patient.*,N/A,N/A,system/Binary.read,system/Binary.*
N/A,N/A,search-type,Observation,https,12345,patient/Patient.read,N/A,patient/MedicationRequest.read,patient/MedicationRequest.*,N/A,N/A,user/Patient.read,user/Patient.*,N/A,N/A,user/Binary.read,user/Binary.*,N/A,N/A,system/MedicationRequest.read,system/MedicationRequest.*,N/A,N/A
patientIdentity,practitionerFhirUser,search-type,Binary,https,N/A,N/A,N/A,patient/MedicationRequest.read,patient/MedicationRequest.*,N/A,patient/Binary.*,N/A,N/A,user/MedicationRequest.read,N/A,user/Binary.read,user/Binary.*,N/A,system/Patient.*,N/A,N/A,system/Binary.read,N/A
N/A,patientFhirUser,search-type,Binary,https,12345,patient/Patient.read,patient/Patient.*,patient/MedicationRequest.read,N/A,patient/Binary.read,N/A,N/A,user/Patient.*,N/A,user/MedicationRequest.*,user/Binary.read,N/A,system/Patient.read,N/A,system/MedicationRequest.read,system/MedicationRequest.*,N/A,system/Binary.*
patientIdentity,N/A,search-type,Binary,https,12345,N/A,patient/Patient.*,N/A,N/A,N/A,N/A,user/Patient.read,N/A,user/MedicationRequest.read,user/MedicationRequest.*,N/A,user/Binary.*,system/Patient.read,N/A,system/MedicationRequest.read,system/MedicationRequest.*,N/A,N/A
N/A,practitionerFhirUser,search-type,Invalid,https,N/A,patient/Patient.read,N/A,N/A,N/A,patient/Binary.read,patient/Binary.*,user/Patient.read,user/Patient.*,N/A,N/A,N/A,N/A,N/A,system/Patient.*,system/MedicationRequest.read,N/A,system/Binary.read,system/Binary.*
